workerid	tracked	image	question	response	expected_response	slide_number	id
0	[]	CLEVR_train_000010.png	How many things are rubber balls or big red shiny things?	3	2	4	104
0	[]	CLEVR_train_000025.png	How many metallic objects are either blocks or small blue balls?	1	1	5	250
0	[]	CLEVR_train_000016.png	What number of rubber objects are tiny things or cyan cylinders?	3	1	6	163
0	[[273.698486328125, 272.375]]	CLEVR_train_000007.png	Is there any other thing that is the same size as the rubber cube?	2	yes	7	74
0	[[263.050048828125, 270.69366455078125]]	CLEVR_train_000018.png	Is the size of the shiny cylinder the same as the thing behind the cube?	no	yes	8	184
0	[[257.4455871582031, 275.7376708984375]]	CLEVR_train_000009.png	Is there any other thing that is the same shape as the large gray object?	yes	no	9	93
0	[[269.2149353027344, 276.298095703125]]	CLEVR_train_000023.png	Is the number of cubes greater than the number of small blue metallic blocks?	no	yes	10	230
0	[[264.73138427734375, 275.1772155761719]]	CLEVR_train_000015.png	What is the material of the brown cylinder that is the same size as the block?	rubber	rubber	11	150
0	[[212.049560546875, 270.69366455078125], [266.4127197265625, 272.375]]	CLEVR_train_000030.png	Do the small metal thing and the small yellow matte thing have the same shape?	yes	yes	12	302
0	[[233.34646606445312, 269.5727844238281], [149.84017944335938, 263.96832275390625], [149.84017944335938, 263.96832275390625], [165.5326385498047, 266.7705383300781], [165.5326385498047, 266.7705383300781], [165.5326385498047, 266.7705383300781], [165.5326385498047, 266.7705383300781], [165.5326385498047, 266.7705383300781], [186.8295440673828, 82.94463348388672], [186.8295440673828, 82.94463348388672], [159.92819213867188, 272.375], [159.92819213867188, 272.375], [187.950439453125, 97.51619720458984], [191.87355041503906, 105.9228744506836], [251.84115600585938, 200.63804626464844], [264.73138427734375, 272.375]]	CLEVR_train_000008.png	The green thing that is the same material as the small brown ball is what shape?	cylinder	cube	13	84
0	[[195.79666137695312, 273.4958801269531], [270.3358154296875, 271.8145446777344]]	CLEVR_train_000012.png	Are there any other things that have the same size as the cyan metallic cylinder?	no	no	14	121
0	[[199.15933227539062, 272.9354248046875], [270.8962707519531, 271.8145446777344]]	CLEVR_train_000003.png	Are there any large cyan spheres made of the same material as the large green sphere?	yes	no	15	33
0	[[219.8957977294922, 269.5727844238281], [270.3358154296875, 267.33099365234375]]	CLEVR_train_000013.png	There is a rubber cylinder that is behind the tiny blue matte block; what color is it?	green	gray	16	130
0	[[202.52200317382812, 275.1772155761719], [267.5335998535156, 271.2541198730469]]	CLEVR_train_000026.png	How many things are both to the right of the cylinder and on the left side of the tiny shiny ball?	3	2	17	264
0	[[203.6428985595703, 274.61676025390625]]	CLEVR_train_000027.png	There is a purple matte object that is the same shape as the large brown object; what is its size?	small	small	18	271
0	[[225.500244140625, 265.649658203125]]	CLEVR_train_000028.png	What is the size of the other cyan object that is the same shape as the large cyan metallic object?	small	small	19	282
